strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,SHORT,2026-02-01 04:10:00-05:00,2026-02-01 04:37:00-05:00,78698.0,78765.542516675,1.1,SL,-74.29676834250714,64.96671322258838,-139.2634815650955,-2.1218377917210054,9860.736518434904,2,equilibrium,1m,1.9330871374085892
ICT,SHORT,2026-02-03 02:27:00-05:00,2026-02-03 02:32:00-05:00,78648.0,78751.51786435001,0.985,SL,-101.96509638476105,58.15729080301162,-160.1223871877727,-1.6996533917662386,9700.614131247132,1,ote,1m,1.5228147608181408
ICT,SHORT,2026-02-07 11:05:00-05:00,2026-02-07 11:05:00-05:00,69598.25,69749.572509825,0.672,SL,-101.68872660239786,35.13344679963132,-136.8221734020292,-1.4105084384840618,9563.791957845102,2,equilibrium,1m,2.8351573365109233
ICT,LONG,2026-03-12 05:14:00-04:00,2026-03-12 05:16:00-04:00,69728.0,69651.3061728,1.372,SL,-105.22393091839594,71.69223883799489,-176.91616975639084,-1.8492950549998837,9386.875788088711,1,ote,1m,1.405461220743404
ICT,LONG,2026-03-17 11:11:00-04:00,2026-03-17 11:22:00-04:00,74185.5,74074.40631855,0.905,SL,-100.53978171225172,50.298111245058266,-150.83789295730998,-1.6074736093782964,9236.037895131401,2,equilibrium,1m,1.4707938911418654
ICT,SHORT,2026-03-23 04:09:00-04:00,2026-03-23 04:13:00-04:00,68502.0,68603.3616502,0.977,SL,-99.03033224539332,50.24930718273497,-149.2796394281283,-1.6168324385474835,9086.758255703273,1,ote,1m,1.4497047681531603
ICT,SHORT,2026-06-05 03:43:00-04:00,2026-06-05 03:46:00-04:00,62789.0225,62886.10700440225,1.001,SL,-97.18158890665211,47.192308515773654,-144.37389742242576,-1.5884933011026934,8942.384358280848,2,equilibrium,1m,1.3330081006131067
ICT,SHORT,2026-06-05 04:01:00-04:00,2026-06-05 04:03:00-04:00,63026.17,62882.58,0.939,TP,134.83100999999672,23.64566325,111.18534674999673,1.2430507126204613,9053.569705030844,2,equilibrium,1m,1.5074089163987556
ICT,SHORT,2026-06-26 02:46:00-04:00,2026-06-26 02:51:00-04:00,60306.5875,60186.01,1.154,TP,139.14643499999931,27.809691503,111.33674349699932,1.229986013032038,9164.906448527843,1,deep_discount,1m,1.5372119161890474
ICT,SHORT,2026-06-27 03:22:00-04:00,2026-06-27 03:44:00-04:00,60293.73,60365.419668373,1.396,SL,-100.0787770486993,63.182578637376785,-163.2613556860761,-1.7813061830701034,9001.645092841767,1,ote,1m,1.351636837694028
ICT,SHORT,2026-06-27 03:55:00-04:00,2026-06-27 04:37:00-04:00,60430.62,60305.74,1.362,TP,170.08656000000636,32.888584464000004,137.19797553600634,1.6942971867826129,9138.843068377773,1,deep_discount,1m,1.7893895329260303
ICT,SHORT,2026-06-27 08:37:00-04:00,2026-06-27 09:03:00-04:00,60284.52,60350.839000452,1.516,SL,-100.53960468523228,68.59879602257688,-169.13840070780915,-1.8507050549999702,8969.704667669965,1,ote,1m,1.319244144267839
