strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,LONG,2026-02-01 08:49:00-05:00,2026-02-01 08:51:00-05:00,78499.5,78375.66214994999,0.862,SL,-106.74822674310964,50.69121522529129,-157.43944196840093,-1.5745271680694766,9842.560558031599,2,equilibrium,1m,1.590524097086552
ICT,LONG,2026-02-07 10:00:00-05:00,2026-02-07 10:02:00-05:00,68558.5,68724.0,0.781,TP,129.2555,21.443526500000004,107.81197350000001,1.0950749056985518,9950.372531531599,2,equilibrium,1m,1.3128825108977267
ICT,SHORT,2026-02-23 04:42:00-05:00,2026-02-23 04:46:00-05:00,66270.0,66379.90732700001,0.964,SL,-105.95066322800778,47.97148286477541,-153.92214609278318,-1.5461438562007532,9796.450385438815,2,equilibrium,1m,4.163842354991605
ICT,LONG,2026-03-03 05:00:00-05:00,2026-03-03 05:16:00-05:00,66606.5,66450.74776065,0.657,SL,-102.32922125294782,32.764071803310884,-135.09329305625872,-1.3790240574244712,9661.357092382555,1,ote,1m,1.4922220023943178
ICT,LONG,2026-03-17 02:26:00-04:00,2026-03-17 02:43:00-04:00,74185.5,74017.41201854999,0.601,SL,-101.02087685145459,33.3835526427317,-134.40442949418627,-1.391753817613914,9526.952662888369,2,equilibrium,1m,1.4344791533771881
ICT,SHORT,2026-03-23 04:31:00-04:00,2026-03-23 04:31:00-04:00,68465.5,68549.31974655,1.238,SL,-103.76884622889746,63.627289615425894,-167.39613584432337,-1.7568257519354833,9359.556527044046,1,ote,1m,1.3057798624057864
ICT,SHORT,2026-04-15 05:00:00-04:00,2026-04-15 05:09:00-04:00,74187.5,74044.0,1.032,TP,148.092,30.594981599999997,117.49701840000002,1.2554508614748452,9477.053545444045,2,equilibrium,1m,1.5823569951757408
