strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,LONG,2019-05-06 04:37:00-04:00,2019-05-06 04:48:00-04:00,7675.8,7665.94088379,10.465,SL,-103.17565113765144,2.407753896977247,-105.58340503462868,-1.064732584866266,9811.212380857589,2,equilibrium,1m,1.6885117879228904
ICT,LONG,2019-05-13 03:23:00-04:00,2019-05-13 03:47:00-04:00,7479.6,7471.34681398,12.451,SL,-102.76041913502763,2.7917997796172997,-105.55221891464494,-1.0758679319102478,9705.660161942944,1,deep_discount,1m,1.8148129346665938
ICT,LONG,2019-05-13 03:49:00-04:00,2019-05-13 04:02:00-04:00,7472.6,7462.75324368,9.267,SL,-91.24989081744155,2.075632528183651,-93.3255233456252,-1.0630317286853457,9612.334638597318,1,deep_discount,1m,1.9382065383439093
ICT,SHORT,2019-06-03 09:36:00-04:00,2019-06-03 09:43:00-04:00,7124.4,7106.2,7.004,TP,127.47279999999871,0.9967112239999999,126.47608877599872,1.3157364984990048,9738.810727373317,2,equilibrium,1m,1.3261053306519586
ICT,SHORT,2019-10-10 04:17:00-04:00,2019-10-10 04:23:00-04:00,7660.1,7668.143488005001,12.714,SL,-102.26490649557832,2.923760640129912,-105.18866713570823,-1.0800710010000774,9633.622060237609,1,ote,1m,1.7232151016306092
ICT,LONG,2019-10-14 03:28:00-04:00,2019-10-14 03:41:00-04:00,7833.8,7825.474906689999,12.143,SL,-101.09160806333898,2.8517531698387337,-103.94336123317771,-1.0789206695573095,9529.678699004431,1,ote,1m,1.3990773651968127
ICT,LONG,2019-10-14 05:09:00-04:00,2019-10-14 05:19:00-04:00,7833.1,7824.775641655,12.013,SL,-100.0005167984885,2.8209708986640303,-102.82148769715255,-1.0789205805842839,9426.857211307279,1,ote,1m,1.4874387061803056
ICT,LONG,2020-02-05 09:45:00-05:00,2020-02-05 10:26:00-05:00,9376.2,9360.248964150001,4.231,SL,-67.48883268134679,1.188771289346373,-68.67760397069317,-1.0483758205310378,9358.179607336586,2,equilibrium,1m,1.8489431405107817
ICT,SHORT,2020-02-06 04:55:00-05:00,2020-02-06 05:58:00-05:00,9413.8,9398.4,8.735,TP,134.51899999999682,1.6432456699999998,132.87575432999682,1.4198396460637415,9491.055361666582,1,ote,1m,1.4373984953982422
ICT,SHORT,2020-02-26 05:32:00-05:00,2020-02-26 05:38:00-05:00,8846.2,8834.0,10.492,TP,128.00240000000764,1.8550065840000003,126.14739341600763,1.3290882359446219,9617.20275508259,2,equilibrium,1m,1.348632575004119
