strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,LONG,2025-10-05 10:16:00-04:00,2025-10-05 10:35:00-04:00,123286.0,123122.4005286,0.475,SL,-77.70974891499863,43.87789713809675,-121.58764605309537,-1.6919873067616256,7062.48063419761,2,equilibrium,1m,2.8489086895021387
ICT,SHORT,2025-10-12 03:58:00-04:00,2025-10-12 04:06:00-04:00,111625.0,111782.8021625,0.482,SL,-76.0606423249983,40.39427085327875,-116.45491317827705,-1.6477933755455856,6946.025721019333,1,ote,1m,1.432225063938619
ICT,SHORT,2025-11-21 09:51:00-05:00,2025-11-21 09:52:00-05:00,84653.5,84981.15076535,0.218,SL,-71.42786684630025,13.880132576765465,-85.30799942306571,-1.2261219077056753,6860.717721596267,2,equilibrium,1m,1.7248753342827179
ICT,LONG,2026-02-07 10:00:00-05:00,2026-02-07 10:02:00-05:00,68558.5,68724.0,0.544,TP,90.03200000000001,14.936336,75.09566400000001,1.095074905698552,6935.813385596268,2,equilibrium,1m,1.3128825108977267
ICT,SHORT,2026-02-23 04:42:00-05:00,2026-02-23 04:46:00-05:00,66270.0,66379.90732700001,0.672,SL,-73.85772374400544,33.440701748059205,-107.29842549206465,-1.5461438562007532,6828.514960104203,2,equilibrium,1m,4.163842354991605
ICT,SHORT,2026-02-23 05:17:00-05:00,2026-02-23 05:18:00-05:00,66316.0,66392.94013015,0.805,SL,-61.936804770753085,40.07235024262392,-102.00915501337701,-1.8025141315844446,6726.5058050908265,2,equilibrium,1m,5.442120717204205
ICT,LONG,2026-03-03 05:00:00-05:00,2026-03-03 05:16:00-05:00,66606.5,66450.74776065,0.451,SL,-70.2442599468485,22.491014282029237,-92.73527422887774,-1.3790240574244712,6633.770530861949,1,ote,1m,1.4922220023943178
ICT,LONG,2026-03-17 03:07:00-04:00,2026-03-17 03:19:00-04:00,74199.0,74416.0,0.619,TP,134.323,18.398537,115.924463,1.7470032369706043,6749.694993861949,2,equilibrium,1m,2.0242726144834715
ICT,SHORT,2026-03-23 04:31:00-04:00,2026-03-23 04:31:00-04:00,68465.5,68549.31974655,0.877,SL,-73.5099177243482,45.0736130797484,-118.5835308040966,-1.756825751935483,6631.111463057852,1,ote,1m,1.3057798624057864
ICT,SHORT,2026-04-15 05:00:00-04:00,2026-04-15 05:09:00-04:00,74187.5,74044.0,0.731,TP,104.8985,21.6714453,83.22705470000001,1.255450861474845,6714.338517757852,2,equilibrium,1m,1.5823569951757408
ICT,SHORT,2026-06-16 05:35:00-04:00,2026-06-16 05:49:00-04:00,66683.07,66514.37,0.652,TP,109.99240000000759,17.368946176,92.6234538240076,1.3786517812409134,6806.96197158186,1,ote,1m,1.6371794823274959
