strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,LONG,2026-02-07 10:00:00-05:00,2026-02-07 10:02:00-05:00,68558.5,68724.0,0.793,TP,131.2415,21.773004500000003,109.4684955,1.0950749056985518,10109.4684955,2,equilibrium,1m,1.3128825108977267
ICT,SHORT,2026-02-23 04:42:00-05:00,2026-02-23 04:46:00-05:00,66270.0,66379.90732700001,0.979,SL,-107.59927313300791,48.71792710022315,-156.31720023323106,-1.5461438562007532,9953.151295266769,2,equilibrium,1m,4.163842354991605
ICT,SHORT,2026-02-23 05:17:00-05:00,2026-02-23 05:18:00-05:00,66316.0,66392.94013015,1.174,SL,-90.32771279610448,58.44091824203785,-148.76863103814233,-1.8025141315844442,9804.382664228626,2,equilibrium,1m,5.442120717204205
ICT,LONG,2026-03-03 05:00:00-05:00,2026-03-03 05:16:00-05:00,66606.5,66450.74776065,0.658,SL,-102.48497349229781,32.81394101457924,-135.29891450687705,-1.379024057424471,9669.083749721749,1,ote,1m,1.4922220023943178
ICT,LONG,2026-03-17 03:07:00-04:00,2026-03-17 03:19:00-04:00,74199.0,74416.0,0.902,TP,195.734,26.810146000000003,168.923854,1.7470032369706043,9838.00760372175,2,equilibrium,1m,2.0242726144834715
ICT,SHORT,2026-03-23 04:31:00-04:00,2026-03-23 04:31:00-04:00,68465.5,68549.31974655,1.278,SL,-107.12163609089737,65.68309864985,-172.80473474074736,-1.756825751935483,9665.202868981001,1,ote,1m,1.3057798624057864
ICT,SHORT,2026-04-15 05:00:00-04:00,2026-04-15 05:09:00-04:00,74187.5,74044.0,1.066,TP,152.971,31.602955800000004,121.3680442,1.255450861474845,9786.570913181002,2,equilibrium,1m,1.5823569951757408
ICT,SHORT,2026-06-16 05:35:00-04:00,2026-06-16 05:49:00-04:00,66683.07,66514.37,0.95,TP,160.26500000001104,25.3075136,134.95748640001105,1.378651781240913,9921.528399581013,1,ote,1m,1.6371794823274959
