strategy,direction,opened_at,closed_at,entry,exit,qty,reason,gross_pnl,fees,net_pnl,r_multiple,balance_after,tier,fib_zone,mode,rr
ICT,SHORT,2023-11-10 11:50:00-05:00,2023-11-10 12:13:00-05:00,37122.75,36943.0,1.513,TP,271.96175,22.41229595,249.54945405,2.8255795726600788,9082.019620590376,1,deep_discount,5m,3.079347812121118
ICT,SHORT,2023-11-14 05:50:00-05:00,2023-11-14 06:11:00-05:00,36622.0,36662.287862200006,2.48,SL,-99.91389825601539,68.1718726440408,-168.0857709000562,-1.8507050550000166,8913.93384969032,2,equilibrium,1m,1.3926055376548463
ICT,SHORT,2023-12-11 09:40:00-05:00,2023-12-11 09:51:00-05:00,42366.0,42304.0,2.056,TP,127.47200000000001,34.816304,92.655696,1.0392012175436545,9006.58954569032,2,equilibrium,1m,1.429691463358332
ICT,SHORT,2023-12-11 10:00:00-05:00,2023-12-11 10:00:00-05:00,42381.0,42415.610136899995,2.126,SL,-73.58115104938993,67.61697413307716,-141.1981251824671,-2.1869314918269596,8865.391420507853,2,equilibrium,1m,1.5341405272723425
ICT,LONG,2023-12-21 05:55:00-05:00,2023-12-21 06:09:00-05:00,43468.0,43537.0,2.04,TP,140.76,35.49804,105.26195999999999,1.187057145486314,8970.653380507852,2,equilibrium,1m,1.5873746204103891
ICT,LONG,2024-01-09 09:59:00-05:00,2024-01-09 10:04:00-05:00,46500.0,46575.0,1.929,TP,144.675,35.90833500000001,108.766665,1.633779554937297,9079.420045507852,1,ote,1m,1.3544891640866161
ICT,LONG,2024-01-09 10:38:00-05:00,2024-01-09 10:49:00-05:00,46582.0,46512.7622586,1.324,SL,-91.67076961360031,46.20550707671252,-137.87627669031284,-1.6123642994182243,8941.543768817539,1,ote,1m,1.6767270288396323
ICT,LONG,2024-01-09 11:29:00-05:00,2024-01-09 11:40:00-05:00,46571.0,46523.7691578,1.804,SL,-85.20443932879772,62.96370055836917,-148.1681398871669,-1.9290035989662775,8793.375628930373,1,ote,1m,2.480939126225275
ICT,LONG,2024-01-10 05:07:00-05:00,2024-01-10 07:10:00-05:00,45932.0,45885.4559955,1.354,SL,-63.020582092999426,46.609284679848855,-109.62986677284827,-1.929863074663835,8683.745762157525,1,ote,1m,2.06296666923249
ICT,SHORT,2024-01-15 03:18:00-05:00,2024-01-15 03:23:00-05:00,42432.0,42478.6794432,2.047,SL,-95.55282023040498,65.19628205112673,-160.7491022815317,-1.8507050550000266,8522.996659875993,2,equilibrium,1m,1.3904600301658896
ICT,SHORT,2024-01-25 10:24:00-05:00,2024-01-25 10:36:00-05:00,39974.0,40033.9689966,1.332,SL,-79.87870347120072,39.97795928690916,-119.85666275810988,-1.6078061599565803,8403.139997117883,2,equilibrium,1m,1.5164306037582382
ICT,SHORT,2024-02-05 04:29:00-05:00,2024-02-05 05:05:00-05:00,42725.0,42655.0,1.967,TP,137.69,33.588492,104.101508,1.6177288705488506,8507.241505117883,1,ote,1m,1.4046587849702659
ICT,LONG,2024-03-05 05:34:00-05:00,2024-03-05 05:39:00-05:00,66721.0,66579.62037209999,0.631,SL,-89.21054520490563,31.5266474501373,-120.73719265504293,-1.4202879959669004,8386.504312462841,2,equilibrium,1m,3.058172074138291
ICT,SHORT,2024-03-06 05:01:00-05:00,2024-03-06 05:02:00-05:00,64634.0,64459.0,0.746,TP,130.55,19.2606756,111.28932440000001,1.7632432592155443,8497.793636862842,2,equilibrium,1m,1.3105634978027818
ICT,SHORT,2024-03-06 05:18:00-05:00,2024-03-06 05:21:00-05:00,65391.0,65505.9409391,0.784,SL,-90.11369625440065,38.499470532939924,-128.61316678734056,-1.513478117339086,8369.180470075502,2,equilibrium,1m,1.337749444142001
ICT,SHORT,2024-03-06 05:37:00-05:00,2024-03-06 05:37:00-05:00,65963.75,66075.570646375,0.795,SL,-88.89741386812159,39.37977951512747,-128.27719338324906,-1.5335919519122652,8240.903276692254,1,ote,1m,1.4993287474308916
ICT,LONG,2024-03-14 11:02:00-04:00,2024-03-14 11:07:00-04:00,72923.0,72817.7944923,0.842,SL,-88.58303748339732,46.00215382938413,-134.58519131278143,-1.632301856262263,8106.318085379472,1,ote,1m,1.337785811300781
ICT,SHORT,2024-04-18 09:34:00-04:00,2024-04-18 09:53:00-04:00,61523.0,61598.679251999994,1.118,SL,-84.60940373599381,51.6335706720548,-136.2429744080486,-1.7529218295253173,7970.075110971424,2,equilibrium,1m,2.923331494760195
ICT,LONG,2024-05-02 03:10:00-04:00,2024-05-02 03:13:00-04:00,57453.0,57389.8074453,1.387,SL,-87.64807336889884,59.71727680964711,-147.36535017854595,-1.8492950549999425,7822.709760792878,1,ote,1m,2.2105024976937155
