timestamp,rate
1577836800,0.0001
1577865600,7.354e-05
1577894400,-0.00016125
1577923200,5.047e-05
1577952000,0.0001
1577980800,0.0001
1578009600,0.0001
1578038400,0.0001
1578067200,0.0001
1578096000,0.0001
1578124800,0.0001
1578153600,0.0001
1578182400,0.0001
1578211200,0.0001
1578240000,0.0001
1578268800,0.0001
1578297600,0.0001
1578326400,0.0001
1578355200,0.0001
1578384000,0.0001
1578412800,0.0001
1578441600,0.0001
1578470400,0.0001
1578499200,0.0001
1578528000,0.0001
1578556800,0.0001
1578585600,0.0001
1578614400,0.0001
1578643200,0.0001
1578672000,0.0001
1578700800,0.0001
1578729600,0.0001
1578758400,0.0001
1578787200,0.0001
1578816000,0.0001
1578844800,0.0001
1578873600,0.0001
1578902400,0.0001
1578931200,0.0001
1578960000,0.0001
1578988800,0.0001
1579017600,0.0001
1579046400,0.00011544
1579075200,0.00020223
1579104000,0.00031864
1579132800,0.00017165
1579161600,0.00038406
1579190400,0.0004224
1579219200,0.00018772
1579248000,0.0001
1579276800,0.00020327
1579305600,0.0001
1579334400,0.0001
1579363200,0.00011014
1579392000,0.00044662
1579420800,0.00019851
1579449600,0.00023852
1579478400,0.00047503
1579507200,0.00054081
1579536000,0.00038562
1579564800,0.00021637
1579593600,0.00016823
1579622400,0.00018627
1579651200,0.0001535
1579680000,0.0001
1579708800,0.0001
1579737600,0.0001
1579766400,0.0001
1579795200,0.00021994
1579824000,0.00017114
1579852800,0.00017748
1579881600,0.00025923
1579910400,0.0001
1579939200,0.0001
1579968000,0.00027793
1579996800,0.00031959
1580025600,0.00026387
1580054400,0.0001
1580083200,0.0001
1580112000,0.0001
1580140800,0.0001
1580169600,0.00010167
1580198400,0.00049212
1580227200,0.00091788
1580256000,0.00122251
1580284800,0.0010613
1580313600,0.00055576
1580342400,0.00054882
1580371200,0.00049058
1580400000,0.00054951
1580428800,0.00082589
1580457600,0.00132017
1580486400,0.00093741
1580515200,0.0007201
1580544000,0.00070775
1580572800,0.00052861
1580601600,0.000352
1580630400,0.00016128
1580659200,0.0001
1580688000,0.0001
1580716800,0.0001
1580745600,0.0001
1580774400,0.00036575
1580803200,0.00014722
1580832000,0.00039381
1580860800,0.0001
1580889600,0.0001
1580918400,0.00095515
1580947200,0.00112654
1580976000,0.00077325
1581004800,0.00053238
1581033600,0.00032775
1581062400,0.00014913
1581091200,0.00045718
1581120000,0.00026524
1581148800,0.00027312
1581177600,0.00029946
1581206400,0.00097062
1581235200,0.00063224
1581264000,0.00136228
1581292800,0.00130685
1581321600,0.00193444
1581350400,0.00295694
1581379200,0.0011812
1581408000,0.00150902
1581436800,0.00107512
1581465600,0.0028447
1581494400,0.0036719
1581523200,0.00148984
1581552000,0.00119193
1581580800,0.00141789
1581609600,0.0017895
1581638400,0.00133922
1581667200,0.00081527
1581696000,0.00097804
1581724800,0.00084363
1581753600,0.00099519
1581782400,0.00116429
1581811200,0.00191229
1581840000,0.00042143
1581868800,0.00063291
1581897600,0.0006537
1581926400,0.00052153
1581955200,0.00088411
1581984000,0.00024205
1582012800,0.00012422
1582041600,0.00023619
1582070400,0.0007174
1582099200,0.00095567
1582128000,0.00068394
1582156800,0.0001949
1582185600,0.0001
1582214400,0.00053851
1582243200,0.00069899
1582272000,0.0005353
1582300800,0.0005742
1582329600,0.00051605
1582358400,0.00056424
1582387200,0.00045883
1582416000,0.00077311
1582444800,0.00043317
1582473600,0.00048157
1582502400,0.00054128
1582531200,0.00037142
1582560000,0.00020954
1582588800,0.00031422
1582617600,0.00040545
1582646400,0.00052084
1582675200,0.00047129
